timestamp,judge_name,team_name,go_live,usefulness,taste,problem_statement
2025-03-29 19:31:22,vedant,Bob the Builders AI,1,3,2,3
2025-03-29 19:31:26,Ishan,Bob the Builders AI,3,5,2,4
2025-03-29 19:31:28,Dev,Bob the Builders AI,2,3,1,5
2025-03-29 19:36:40,vedant,Fluid,2,3,2,2
2025-03-29 19:37:31,Gaurang,Fluid,2,4,3,3
2025-03-29 19:40:10,Ishan,Fluid,3,2,4,2
2025-03-29 19:42:15,Rohan,Fluid,4,2,4,3
2025-03-29 19:43:02,chintan,Fluid,2,1,2,2
2025-03-29 19:43:15,Ayush,Fluid,2,3,4,2
2025-03-29 19:43:30,Dev,Fluid,3,0,4,0
2025-03-29 19:48:19,Rohan,Neural Babel,3,3,2,3
2025-03-29 19:48:27,Gaurang,Neural Babel,2,2,2,2
2025-03-29 19:48:46,vedant,Neural Babel,2,2,3,2
2025-03-29 19:48:47,Ishan,Neural Babel,3,3,4,3
2025-03-29 19:49:06,chintan,Neural Babel,3,2,3,2
2025-03-29 19:49:28,Ayush,Neural Babel,3,5,4,4
2025-03-29 19:50:44,Nimisha,Fluid,4,2,3,4
2025-03-29 19:51:05,Dev,Neural Babel,4,4,2,3
2025-03-29 19:51:06,Nimisha,Neural Babel,4,2,3,4
2025-03-29 19:53:59,vedant,fiction AI,4,2,5,2
2025-03-29 19:55:20,Nimisha,fiction AI,4,4,4,4
2025-03-29 19:55:29,Rohan,fiction AI,4,3,4,3
2025-03-29 19:55:45,Dev,fiction AI,5,2,5,4
2025-03-29 19:56:02,chintan,fiction AI,5,4,5,4
2025-03-29 19:56:03,Gaurang,fiction AI,5,5,5,5
2025-03-29 19:57:12,Ayush,fiction AI,5,4,5,3
2025-03-29 19:57:19,Ishan,fiction AI,5,3,5,3
2025-03-29 19:59:31,Gaurang,SOLOYOLO,3,3,3,3
2025-03-29 20:00:34,Ishan,SOLOYOLO,2,4,2,4
2025-03-29 20:00:38,Rohan,SOLOYOLO,4,4,3,3
2025-03-29 20:04:04,chintan,SOLOYOLO,3,3,3,3
2025-03-29 20:04:07,Ayush,SOLOYOLO,2,1,2,2
2025-03-29 20:04:28,Nimisha,SOLOYOLO,3,4,3,4
2025-03-29 20:04:48,vedant,SOLOYOLO,3,1,1,1
2025-03-29 20:04:52,Dev,SOLOYOLO,3,1,2,1
2025-03-29 20:06:10,Gaurang,Team 1,5,4,4,4
2025-03-29 20:09:29,Rohan,Team 1,3,3,3,4
2025-03-29 20:09:36,Ishan,Team 1,4,4,3,4
2025-03-29 20:09:53,Nimisha,Team 1,4,3,4,4
2025-03-29 20:10:12,Ayush,Team 1,4,3,3,3
2025-03-29 20:10:20,vedant,Team 1,0,1,1,1
2025-03-29 20:10:22,chintan,Team 1,4,3,3,3
2025-03-29 20:10:27,Dev,Team 1,1,1,0,3
